sentence1,sentence2,similarity
Can you recommend any faith-based organizations that offer citizenship classes and support for immigrants in my area?,"Seeks to partner with any faith community or organization interested in helping us to fulfill our mission. We partner with local groups to offer citizenship classes and co-host and sponsor informational sessions for immigrants with Catholic Charities Immigration Legal Services, the United States Citizenship and Immigration Service (USCIS) and the Mexican Consulate. We seek opportunities to build connections and collaborations that strengthen immigrant support.",0.9
Are there any organizations that provide legal services or support for immigrants in my community?,"Seeks to partner with any faith community or organization interested in helping us to fulfill our mission. We partner with local groups to offer citizenship classes and co-host and sponsor informational sessions for immigrants with Catholic Charities Immigration Legal Services, the United States Citizenship and Immigration Service (USCIS) and the Mexican Consulate. We seek opportunities to build connections and collaborations that strengthen immigrant support.",0.85
Are there any opportunities to collaborate with organizations that support immigrants and provide legal services in my community?,"Seeks to partner with any faith community or organization interested in helping us to fulfill our mission. We partner with local groups to offer citizenship classes and co-host and sponsor informational sessions for immigrants with Catholic Charities Immigration Legal Services, the United States Citizenship and Immigration Service (USCIS) and the Mexican Consulate. We seek opportunities to build connections and collaborations that strengthen immigrant support.",0.85
Where can I apply for U.S. citizenship?,"Seeks to partner with any faith community or organization interested in helping us to fulfill our mission. We partner with local groups to offer citizenship classes and co-host and sponsor informational sessions for immigrants with Catholic Charities Immigration Legal Services, the United States Citizenship and Immigration Service (USCIS) and the Mexican Consulate. We seek opportunities to build connections and collaborations that strengthen immigrant support.",0.5
dqwm;mdwqlkdm21,"Seeks to partner with any faith community or organization interested in helping us to fulfill our mission. We partner with local groups to offer citizenship classes and co-host and sponsor informational sessions for immigrants with Catholic Charities Immigration Legal Services, the United States Citizenship and Immigration Service (USCIS) and the Mexican Consulate. We seek opportunities to build connections and collaborations that strengthen immigrant support.",0
How can I get involved in mentoring programs for children in my community?,We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,0.85
"How can I become a mentor for children in my community, and what organizations offer mentoring services for children?",We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,0.9
Are there any mentorship opportunities for adults needing help with welding?,We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,0.5
How can I get involved in volunteering or supporting programs that address poverty in my area?,We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,0.35
AAAAAAAAAAAAAAAAAAAAAA,We provide mentoring services to children 6-18 years of age. We help nurture children and strengthen communities.,0
"Where can I find resources for addressing homelessness, poverty, and family conflict in my community?","Accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",0.95
Where can I find resources for victims of domestic violence or abuse in my area?,"Accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",0.75
What resources are available in my community to address homelessness?,"Accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",0.9
Where can I get tested for COVID-19?,"Accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",0.3
****!!!!!!((())())@@@@####,"Accomplish its Vision through programs addressing homelessness, violence and abuse, family conflict, youth in crisis, life skills deficiencies, and poverty. They have a Homeless shelter, Community Closet, and community café.",0
Are there any organizations that provide free housing and support for pregnant women and new mothers in my area?,"Provide a safe, stable and supportive place for residents and up to two children to live while dealing with unexpected pregnancy.
Provide free housing throughout pregnancy and continue for up to 6 months after delivery.
Assist residents to meet basic needs, such as clothing, baby items, long-term housing, job and educational opportunities.
Provide residents access to health services
Partner with other community nonprofits and government organizations to provide for residents’ needs and well-being.",0.9
"Where can I find safe and supportive housing for pregnant women in need of assistance, along with access to health services and educational opportunities?","Provide a safe, stable and supportive place for residents and up to two children to live while dealing with unexpected pregnancy.
Provide free housing throughout pregnancy and continue for up to 6 months after delivery.
Assist residents to meet basic needs, such as clothing, baby items, long-term housing, job and educational opportunities.
Provide residents access to health services
Partner with other community nonprofits and government organizations to provide for residents’ needs and well-being.",0.8
Where can I find stable housing for homelessness?,"Provide a safe, stable and supportive place for residents and up to two children to live while dealing with unexpected pregnancy.
Provide free housing throughout pregnancy and continue for up to 6 months after delivery.
Assist residents to meet basic needs, such as clothing, baby items, long-term housing, job and educational opportunities.
Provide residents access to health services
Partner with other community nonprofits and government organizations to provide for residents’ needs and well-being.",0.5
What services or programs are available for youth in crisis or at-risk of homelessness in my community?,"Provide a safe, stable and supportive place for residents and up to two children to live while dealing with unexpected pregnancy.
Provide free housing throughout pregnancy and continue for up to 6 months after delivery.
Assist residents to meet basic needs, such as clothing, baby items, long-term housing, job and educational opportunities.
Provide residents access to health services
Partner with other community nonprofits and government organizations to provide for residents’ needs and well-being.",0.45
wpoqe2902!!!!kdhioq01,"Provide a safe, stable and supportive place for residents and up to two children to live while dealing with unexpected pregnancy.
Provide free housing throughout pregnancy and continue for up to 6 months after delivery.
Assist residents to meet basic needs, such as clothing, baby items, long-term housing, job and educational opportunities.
Provide residents access to health services
Partner with other community nonprofits and government organizations to provide for residents’ needs and well-being.",0
What services are available for adults on probation to help them make positive changes in their behavior?,"Services for adults on probation. To protect the community by facilitating positive changes in offender 
behavior, through the provision of programs and services and rapid 
accountability for offender actions.",0.95
What programs and services are available for adults on probation to facilitate positive changes in behavior and promote accountability?,"Services for adults on probation. To protect the community by facilitating positive changes in offender 
behavior, through the provision of programs and services and rapid 
accountability for offender actions.",0.9
How can I contact the local jail to bond someone out?,"Services for adults on probation. To protect the community by facilitating positive changes in offender 
behavior, through the provision of programs and services and rapid 
accountability for offender actions.",0.45
Where can I find resources for mental health counseling or support groups in my community?,"Services for adults on probation. To protect the community by facilitating positive changes in offender 
behavior, through the provision of programs and services and rapid 
accountability for offender actions.",0.4
Can I paint my car with peanut butter?,"Services for adults on probation. To protect the community by facilitating positive changes in offender 
behavior, through the provision of programs and services and rapid 
accountability for offender actions.",0.1
What resources are available for promoting a healthy lifestyle and preventing disease in my community?,"Dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Health Coalition.

​",0.9
"How can I access resources for disease prevention, health education, and healthy living in my community?","Dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Health Coalition.

​",0.95
How can I find resources for why my dog is sick?,"Dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Health Coalition.

​",0.55
Are there any organizations that provide assistance with job training or job placement for individuals with disabilities in my area?,"Dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Health Coalition.

​",0.3
Where are resources for teaching a chicken to sing opera?,"Dedicated to preventing disease, protecting life, and promoting a healthy lifestyle, provide immunizations, Health Education, Health Coalition.

​",0.1
Are there any programs that offer housing assistance and financial counseling for eligible families in my area?,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. Been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families",0.9
"Where can I find housing assistance, credit counseling, and financial support for first-time homebuyers and eligible families in need?","Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. Been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families",0.95
"I'm looking to sell my house, where can I find resources for that?","Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. Been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families",0.5
What resources or programs are available for individuals experiencing food insecurity or hunger in my community?,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. Been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families",0.3
Why do bees wear stripes?,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. Been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families",0.1
"What organizations offer workforce training, childcare, and GED classes to support individuals and families in need of assistance with basic needs and education?","Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",0.9
